transaction_id,account_id,customer_id,transaction_date,posting_date,transaction_type,currency,amount,balance_after,status,merchant_name,merchant_category,country,reference_code,created_at,updated_at
bd4ad1ae-cc36-4816-a66a-e1c17ad12921,ACC1001,CUST9001,2024-01-01,2024-01-02,DEBIT,INR,5590.64,45408.36,SUCCESS,Amazon-CHANGED,Transport,DE,REF000000,2024-01-01 10:00:00,2024-01-01 10:05:00
322e2005-a83e-4c54-bd37-d5bc18b77dcb,ACC1001,CUST9001,2024-01-01,2024-01-02,CREDIT,EUR,781.32,45689.68,SUCCESS,Amazon,Transport,IN,REF000001,2024-01-01 10:00:00,2024-01-01 10:05:00
4e53391c-06e7-4703-a540-b5ffb2cc1ac1,ACC1001,CUST9001,2024-01-01,2024-01-02,DEBIT,INR,1004.49,45185.19,SUCCESS,Amazon,Electronics,IN,REF000002,2024-01-01 10:00:00,2024-01-01 10:05:00
bcbc81c0-52cc-48e5-8709-e43268a1d864,ACC1001,CUST9001,2024-01-01,2024-01-02,CREDIT,USD,3723.39,48908.58,SUCCESS,Apple,Electronics,IN,REF000003,2024-01-01 10:00:00,2024-01-01 10:05:00
55f8798b-efde-4ada-8db6-2368771b4ccf,ACC1001,CUST9001,2024-01-01,2024-01-02,DEBIT,USD,2347.39,46561.19,SUCCESS,Apple,Transport,DE,REF000004,2024-01-01 10:00:00,2024-01-01 10:05:00
e4ece70d-5405-434f-89bb-b07a486e9941,ACC1001,CUST9001,2024-01-01,2024-01-02,DEBIT,USD,497.28,46063.91,SUCCESS,Uber,Retail,IN,REF000005,2024-01-01 10:00:00,2024-01-01 10:05:00
2eb2433b-bfb0-49db-9a79-85cb218544f9,ACC1001,CUST9001,2024-01-01,2024-01-02,CREDIT,INR,662.23,46726.14,SUCCESS,Apple,Transport,IN,REF000006,2024-01-01 10:00:00,2024-01-01 10:05:00
778fe6f0-e533-42fa-a505-caa8f9bb06fd,ACC1001,CUST9001,2024-01-01,2024-01-02,DEBIT,INR,2618.44,44107.7,SUCCESS,Walmart,Food,DE,REF000007,2024-01-01 10:00:00,2024-01-01 10:05:00
ab5ff731-1786-4edf-8fb3-7621301e5c6f,ACC1001,CUST9001,2024-01-01,2024-01-02,CREDIT,USD,3113.1,47220.8,SUCCESS,Uber,Retail,US,REF000008,2024-01-01 10:00:00,2024-01-01 10:05:00
0e98880c-8ba9-4328-816f-f8ceb8059622,ACC1001,CUST9001,2024-01-01,2024-01-02,CREDIT,INR,3346.36,50567.16,SUCCESS,Apple,Transport,DE,REF000009,2024-01-01 10:00:00,2024-01-01 10:05:00
91936699-1601-4227-a4d6-f4711b9f63b2,ACC1001,CUST9001,2024-01-01,2024-01-02,DEBIT,USD,791.36,49775.8,SUCCESS,Uber,Food,DE,REF000010,2024-01-01 10:00:00,2024-01-01 10:05:00
4c8ce4e7-04b3-4edf-889d-cc957e8cd9da,ACC1001,CUST9001,2024-01-01,2024-01-02,CREDIT,USD,971.39,50747.19,SUCCESS,Walmart,Transport,US,REF000011,2024-01-01 10:00:00,2024-01-01 10:05:00
b2dc2cea-7251-42c5-97aa-192c684c7cd1,ACC1001,CUST9001,2024-01-01,2024-01-02,CREDIT,INR,2840.63,53587.82,SUCCESS,Uber,Electronics,US,REF000012,2024-01-01 10:00:00,2024-01-01 10:05:00
0ffcf798-de4b-4cf9-8388-d3d89621224e,ACC1001,CUST9001,2024-01-01,2024-01-02,DEBIT,INR,1902.03,51685.79,SUCCESS,Walmart,Electronics,IN,REF000013,2024-01-01 10:00:00,2024-01-01 10:05:00
b2fcbaa1-d4b8-4dc2-82a6-841742654808,ACC1001,CUST9001,2024-01-01,2024-01-02,CREDIT,INR,4849.37,56535.16,SUCCESS,Walmart,Retail,DE,REF000014,2024-01-01 10:00:00,2024-01-01 10:05:00
c200e70a-597b-4804-a2be-4901ffa2dcbc,ACC1001,CUST9001,2024-01-01,2024-01-02,CREDIT,USD,2166.17,58701.33,SUCCESS,Starbucks,Food,IN,REF000015,2024-01-01 10:00:00,2024-01-01 10:05:00
1e5beb2c-92ff-4244-8216-abf469a0e52c,ACC1001,CUST9001,2024-01-01,2024-01-02,CREDIT,USD,3719.34,62420.67,SUCCESS,Apple,Electronics,US,REF000016,2024-01-01 10:00:00,2024-01-01 10:05:00
121aa691-407f-461e-84f2-7a84ea121a93,ACC1001,CUST9001,2024-01-01,2024-01-02,DEBIT,USD,2632.87,59787.8,SUCCESS,Uber,Transport,US,REF000017,2024-01-01 10:00:00,2024-01-01 10:05:00
f285c378-eeac-472d-8eaf-b7c56a72d668,ACC1001,CUST9001,2024-01-01,2024-01-02,CREDIT,INR,1989.4,61777.2,SUCCESS,Uber,Transport,US,REF000018,2024-01-01 10:00:00,2024-01-01 10:05:00
85f346fb-95bd-45e6-95f9-7ba62c275ba5,ACC1001,CUST9001,2024-01-01,2024-01-02,DEBIT,EUR,993.15,60784.05,SUCCESS,Apple,Retail,IN,REF000019,2024-01-01 10:00:00,2024-01-01 10:05:00
c667da1d-5ffa-4238-befe-fa6669543a23,ACC1001,CUST9001,2024-01-01,2024-01-02,DEBIT,INR,4863.57,55920.48,SUCCESS,Amazon,Retail,US,REF000020,2024-01-01 10:00:00,2024-01-01 10:05:00
2991b573-e505-4243-b106-d97985d7b5af,ACC1001,CUST9001,2024-01-01,2024-01-02,CREDIT,USD,2517.96,58438.44,SUCCESS,Starbucks,Food,DE,REF000021,2024-01-01 10:00:00,2024-01-01 10:05:00
bbcc6887-c820-4f3b-8163-a51436f60e6d,ACC1001,CUST9001,2024-01-01,2024-01-02,DEBIT,USD,1695.86,56742.58,SUCCESS,Uber,Electronics,US,REF000022,2024-01-01 10:00:00,2024-01-01 10:05:00
6047377e-094e-441d-b91b-a188c507429d,ACC1001,CUST9001,2024-01-01,2024-01-02,CREDIT,INR,4494.7,61237.28,SUCCESS,Uber,Retail,IN,REF000023,2024-01-01 10:00:00,2024-01-01 10:05:00
8e6b09d2-eec8-4247-9379-7054331df647,ACC1001,CUST9001,2024-01-01,2024-01-02,CREDIT,INR,1021.8,62259.08,SUCCESS,Walmart,Food,DE,REF000024,2024-01-01 10:00:00,2024-01-01 10:05:00
02a69d11-32b8-415c-b26a-dcf633d3d80a,ACC1001,CUST9001,2024-01-01,2024-01-02,DEBIT,USD,3965.45,58293.63,SUCCESS,Apple,Transport,DE,REF000025,2024-01-01 10:00:00,2024-01-01 10:05:00
7e1e6bbd-648f-452e-b72a-768e47419fac,ACC1001,CUST9001,2024-01-01,2024-01-02,DEBIT,USD,3567.4,54726.23,SUCCESS,Uber,Food,DE,REF000026,2024-01-01 10:00:00,2024-01-01 10:05:00
5e518012-e995-4e78-a53e-c08c47714a36,ACC1001,CUST9001,2024-01-01,2024-01-02,DEBIT,EUR,3602.21,51124.02,SUCCESS,Apple,Retail,DE,REF000027,2024-01-01 10:00:00,2024-01-01 10:05:00
84a8b4a2-6bf6-4043-865c-decbb4982884,ACC1001,CUST9001,2024-01-01,2024-01-02,DEBIT,USD,3652.19,47471.83,SUCCESS,Starbucks,Transport,IN,REF000028,2024-01-01 10:00:00,2024-01-01 10:05:00
53dfd41e-ebac-46c9-875f-52980d921804,ACC1001,CUST9001,2024-01-01,2024-01-02,DEBIT,INR,1747.97,45723.86,SUCCESS,Starbucks,Food,US,REF000029,2024-01-01 10:00:00,2024-01-01 10:05:00
f52a2a80-073d-4e19-8242-db75a33c7a1f,ACC1001,CUST9001,2024-01-01,2024-01-02,DEBIT,EUR,3096.17,42627.69,SUCCESS,Uber,Food,IN,REF000030,2024-01-01 10:00:00,2024-01-01 10:05:00
812d57db-fcc5-412f-aaec-799ddb678609,ACC1001,CUST9001,2024-01-01,2024-01-02,DEBIT,INR,2462.27,40165.42,SUCCESS,Amazon,Transport,IN,REF000031,2024-01-01 10:00:00,2024-01-01 10:05:00
15f9d03c-9cf0-4042-90a3-9512f36e89f5,ACC1001,CUST9001,2024-01-01,2024-01-02,CREDIT,EUR,4510.87,44676.29,SUCCESS,Apple,Retail,IN,REF000032,2024-01-01 10:00:00,2024-01-01 10:05:00
67b62dae-d92d-49ff-aa3f-3e0c7a8bfa00,ACC1001,CUST9001,2024-01-01,2024-01-02,DEBIT,INR,2541.66,42134.63,SUCCESS,Uber,Transport,IN,REF000033,2024-01-01 10:00:00,2024-01-01 10:05:00
